step,cpu_temp_c,rng_latency_s,clock_jitter_s
1,nan,0.000001,0.000000
2,nan,0.000001,0.000000
3,nan,0.000001,0.000000
4,nan,0.000000,0.000001
5,nan,0.000000,0.000000
6,nan,0.000000,0.000000
7,nan,0.000000,0.000000
8,nan,0.000001,0.000000
9,nan,0.000001,0.000000
10,nan,0.000000,0.000000
11,nan,0.000000,0.000001
12,nan,0.000000,0.000000
13,nan,0.000001,0.000000
14,nan,0.000000,0.000000
15,nan,0.000000,0.000001
16,nan,0.000000,0.000000
17,nan,0.000000,0.000000
18,nan,0.000000,0.000001
19,nan,0.000000,0.000000
20,nan,0.000000,0.000000
21,nan,0.000000,0.000001
22,nan,0.000000,0.000000
23,nan,0.000000,0.000000
24,nan,0.000000,0.000000
25,nan,0.000000,0.000000
26,nan,0.000000,0.000000
27,nan,0.000000,0.000000
28,nan,0.000000,0.000001
29,nan,0.000000,0.000000
30,nan,0.000000,0.000000
