step,node,sent,recv
1,0,22,22
1,1,24,21
1,2,23,28
1,3,28,20
1,4,30,21
1,5,21,24
1,6,25,22
1,7,20,24
1,8,22,24
1,9,30,17
1,10,25,19
1,11,37,34
1,12,26,21
1,13,38,36
1,14,28,23
1,15,21,18
1,16,21,21
1,17,24,23
1,18,25,27
1,19,24,20
1,20,24,21
1,21,21,27
1,22,23,22
1,23,38,43
1,24,17,26
1,25,22,23
1,26,37,41
1,27,19,19
1,28,21,23
1,29,18,23
1,30,25,22
1,31,18,26
1,32,37,33
1,33,24,23
1,34,19,23
1,35,23,23
1,36,18,29
1,37,22,25
1,38,24,26
1,39,24,24
1,40,23,25
1,41,26,26
1,42,21,26
1,43,21,20
1,44,40,38
1,45,22,23
1,46,39,38
1,47,38,34
1,48,21,22
1,49,27,27
2,0,24,20
2,1,20,21
2,2,25,19
2,3,26,25
2,4,25,17
2,5,24,23
2,6,18,21
2,7,22,24
2,8,16,18
2,9,21,20
2,10,21,14
2,11,36,37
2,12,20,18
2,13,37,39
2,14,18,25
2,15,26,22
2,16,23,25
2,17,18,22
2,18,24,25
2,19,20,26
2,20,23,21
2,21,28,23
2,22,23,26
2,23,35,33
2,24,24,23
2,25,20,27
2,26,40,37
2,27,24,24
2,28,29,25
2,29,26,28
2,30,26,28
2,31,27,21
2,32,34,38
2,33,21,26
2,34,26,22
2,35,26,25
2,36,27,30
2,37,25,22
2,38,21,22
2,39,22,23
2,40,24,25
2,41,16,23
2,42,26,25
2,43,24,28
2,44,34,29
2,45,17,20
2,46,35,39
2,47,33,37
2,48,27,24
2,49,28,20
3,0,24,22
3,1,24,20
3,2,23,27
3,3,24,21
3,4,18,26
3,5,25,23
3,6,24,23
3,7,17,24
3,8,18,21
3,9,24,26
3,10,23,28
3,11,32,36
3,12,23,21
3,13,33,38
3,14,27,22
3,15,15,19
3,16,22,15
3,17,31,28
3,18,21,26
3,19,18,27
3,20,23,26
3,21,23,18
3,22,32,21
3,23,39,41
3,24,21,26
3,25,20,28
3,26,38,32
3,27,28,21
3,28,22,20
3,29,17,23
3,30,19,19
3,31,25,26
3,32,40,36
3,33,23,20
3,34,22,20
3,35,19,23
3,36,24,26
3,37,19,19
3,38,24,21
3,39,29,20
3,40,26,21
3,41,20,26
3,42,23,20
3,43,19,24
3,44,39,37
3,45,25,26
3,46,34,35
3,47,31,36
3,48,30,19
3,49,26,23
4,0,26,21
4,1,22,19
4,2,27,26
4,3,20,20
4,4,20,20
4,5,21,24
4,6,19,17
4,7,23,21
4,8,22,17
4,9,25,18
4,10,25,18
4,11,33,37
4,12,20,22
4,13,38,37
4,14,21,25
4,15,22,27
