step,safety,liveness,edge_frac
1,0.864490,1.000000,0.536327
2,0.877551,1.000000,0.525714
3,0.884082,1.000000,0.499592
4,0.852245,1.000000,0.502857
5,0.856327,1.000000,0.497143
6,0.817143,1.000000,0.498776
7,0.880000,1.000000,0.497143
8,0.826122,1.000000,0.512653
9,0.871837,1.000000,0.488163
10,0.878367,1.000000,0.522449
11,0.861224,1.000000,0.493061
12,0.875918,1.000000,0.243265
13,0.863673,1.000000,0.512653
14,0.804898,1.000000,0.522449
15,0.794286,1.000000,0.507755
16,0.874286,1.000000,0.511837
17,0.834286,1.000000,0.498776
18,0.768163,1.000000,0.496327
19,0.844082,1.000000,0.516735
20,0.878367,1.000000,0.497959
21,0.840000,1.000000,0.485714
22,0.864490,1.000000,0.509388
23,0.853061,1.000000,0.488980
24,0.857143,1.000000,0.515102
25,0.813878,1.000000,0.527347
26,0.831837,1.000000,0.482449
27,0.613061,1.000000,1.000000
28,0.837551,1.000000,0.493061
29,0.859592,1.000000,0.517551
30,0.840000,1.000000,0.497959
