step,node,x,y,vx,vy
1,0,1.000000e+01,1.000000e+01,4.609415e+55,7.223378e+55
1,1,1.000000e+01,1.000000e+01,2.467526e+56,1.537245e+56
1,2,1.000000e+01,-1.000000e+01,4.979925e+55,-1.718736e+56
1,3,-1.000000e+01,1.000000e+01,-7.307455e+55,5.990249e+55
1,4,-1.000000e+01,1.000000e+01,-9.636183e+54,7.103554e+55
1,5,-1.000000e+01,-1.000000e+01,-1.744971e+56,-4.350436e+55
1,6,1.000000e+01,-1.000000e+01,3.502978e+54,-8.777721e+55
1,7,1.000000e+01,1.000000e+01,1.098844e+55,9.147419e+55
1,8,1.000000e+01,-1.000000e+01,1.852275e+56,-2.489058e+56
1,9,-1.000000e+01,-1.000000e+01,-1.109291e+56,-6.277918e+55
1,10,1.000000e+01,-1.000000e+01,7.388645e+55,-2.164334e+56
1,11,-1.000000e+01,1.000000e+01,-4.527268e+56,5.020940e+56
1,12,1.000000e+01,1.000000e+01,3.050420e+56,2.285356e+56
1,13,-1.000000e+01,1.000000e+01,-2.927602e+56,1.891876e+56
1,14,-1.000000e+01,-1.000000e+01,-1.821377e+56,-1.128462e+55
1,15,1.000000e+01,-1.000000e+01,2.158156e+56,-1.607658e+56
1,16,-1.000000e+01,1.000000e+01,-1.137526e+56,1.760413e+56
1,17,1.000000e+01,1.000000e+01,6.584029e+55,3.935951e+55
1,18,1.000000e+01,1.000000e+01,2.349589e+56,2.189668e+56
1,19,1.000000e+01,-1.000000e+01,1.959504e+56,-1.066882e+56
1,20,1.000000e+01,1.000000e+01,1.687337e+55,8.796215e+55
1,21,1.000000e+01,1.000000e+01,2.472405e+56,3.007839e+56
1,22,-1.000000e+01,-1.000000e+01,-8.515023e+55,-1.795644e+56
1,23,-1.000000e+01,1.000000e+01,-1.143030e+56,1.686471e+55
1,24,-1.000000e+01,1.000000e+01,-5.862088e+55,5.209542e+55
1,25,1.000000e+01,1.000000e+01,4.523274e+55,1.416544e+56
1,26,-1.000000e+01,1.000000e+01,-3.537404e+56,2.635620e+53
1,27,1.000000e+01,1.000000e+01,1.099199e+56,3.005056e+56
1,28,-1.000000e+01,-1.000000e+01,-4.106442e+55,-1.992601e+56
1,29,1.000000e+01,-1.000000e+01,4.390232e+55,-1.264079e+56
1,30,1.000000e+01,1.000000e+01,8.197157e+55,6.621870e+55
1,31,1.000000e+01,-1.000000e+01,3.282126e+55,-3.345574e+55
1,32,-1.000000e+01,-1.000000e+01,-4.419087e+56,-3.192473e+56
1,33,1.000000e+01,-1.000000e+01,1.649534e+56,-1.020949e+56
1,34,-1.000000e+01,-1.000000e+01,-6.841771e+55,-3.569988e+55
1,35,-1.000000e+01,-1.000000e+01,-3.862504e+55,-5.533716e+55
1,36,-1.000000e+01,1.000000e+01,-1.684728e+56,9.938613e+55
1,37,1.000000e+01,1.000000e+01,3.848112e+55,2.007667e+56
1,38,1.000000e+01,-1.000000e+01,5.970808e+54,-2.880381e+56
1,39,1.000000e+01,1.000000e+01,5.314635e+55,1.687630e+56
1,40,1.000000e+01,-1.000000e+01,5.577485e+55,-2.239535e+56
1,41,1.000000e+01,1.000000e+01,2.496540e+56,5.883431e+55
1,42,1.000000e+01,-1.000000e+01,2.687053e+55,-2.000586e+56
1,43,-1.000000e+01,-1.000000e+01,-1.719807e+55,-9.004043e+55
1,44,1.000000e+01,-1.000000e+01,1.271037e+56,-1.723714e+56
1,45,1.000000e+01,1.000000e+01,1.989370e+55,2.382968e+55
1,46,-1.000000e+01,1.000000e+01,-2.680647e+55,5.498300e+55
1,47,1.000000e+01,-1.000000e+01,3.337158e+55,-2.776660e+56
1,48,-1.000000e+01,-1.000000e+01,-3.657556e+55,-8.468509e+55
1,49,1.000000e+01,1.000000e+01,4.913124e+55,6.669463e+55
2,0,-1.000000e+01,-1.000000e+01,-1.799248e+58,-1.850257e+58
2,1,-1.000000e+01,-1.000000e+01,-1.979543e+58,-2.044462e+58
2,2,-1.000000e+01,1.000000e+01,-2.037733e+58,2.491898e+58
2,3,1.000000e+01,-1.000000e+01,2.277581e+58,-2.084696e+58
2,4,1.000000e+01,-1.000000e+01,2.555632e+58,-2.119231e+58
2,5,1.000000e+01,1.000000e+01,2.149519e+58,2.067696e+58
2,6,-1.000000e+01,1.000000e+01,-1.977270e+58,2.414921e+58
2,7,-1.000000e+01,-1.000000e+01,-1.982935e+58,-2.066092e+58
2,8,-1.000000e+01,1.000000e+01,-2.174572e+58,2.648739e+58
2,9,1.000000e+01,1.000000e+01,2.119736e+58,2.047363e+58
2,10,-1.000000e+01,1.000000e+01,-1.942094e+58,2.376005e+58
2,11,1.000000e+01,-1.000000e+01,4.358660e+58,-3.823977e+58
2,12,-1.000000e+01,-1.000000e+01,-2.039250e+58,-2.085995e+58
2,13,1.000000e+01,-1.000000e+01,4.086320e+58,-3.567661e+58
2,14,1.000000e+01,1.000000e+01,2.378567e+58,2.314479e+58
2,15,-1.000000e+01,1.000000e+01,-1.981035e+58,2.164305e+58
2,16,1.000000e+01,-1.000000e+01,2.282353e+58,-1.895027e+58
2,17,-1.000000e+01,-1.000000e+01,-1.914128e+58,-1.983540e+58
2,18,-1.000000e+01,-1.000000e+01,-1.960880e+58,-2.011652e+58
2,19,-1.000000e+01,1.000000e+01,-2.174907e+58,2.373912e+58
2,20,-1.000000e+01,-1.000000e+01,-1.783438e+58,-1.838783e+58
2,21,-1.000000e+01,-1.000000e+01,-2.165105e+58,-2.251201e+58
2,22,1.000000e+01,1.000000e+01,2.327384e+58,2.290229e+58
2,23,1.000000e+01,-1.000000e+01,4.439083e+58,-3.874556e+58
2,24,1.000000e+01,-1.000000e+01,2.460288e+58,-2.034465e+58
2,25,-1.000000e+01,-1.000000e+01,-1.884415e+58,-1.965325e+58
2,26,1.000000e+01,-1.000000e+01,4.462886e+58,-3.503765e+58
2,27,-1.000000e+01,-1.000000e+01,-2.148896e+58,-2.248722e+58
2,28,1.000000e+01,1.000000e+01,2.395141e+58,2.363167e+58
2,29,-1.000000e+01,1.000000e+01,-2.255633e+58,2.481491e+58
2,30,-1.000000e+01,-1.000000e+01,-1.767431e+58,-1.813335e+58
2,31,-1.000000e+01,1.000000e+01,-2.066627e+58,2.266675e+58
2,32,1.000000e+01,1.000000e+01,5.071690e+58,4.529515e+58
2,33,-1.000000e+01,1.000000e+01,-2.236065e+58,2.444212e+58
2,34,1.000000e+01,1.000000e+01,2.433940e+58,2.382476e+58
2,35,1.000000e+01,1.000000e+01,2.209760e+58,2.140731e+58
2,36,1.000000e+01,-1.000000e+01,2.351812e+58,-1.940497e+58
2,37,-1.000000e+01,-1.000000e+01,-1.820242e+58,-1.905446e+58
2,38,-1.000000e+01,1.000000e+01,-2.137022e+58,2.630744e+58
2,39,-1.000000e+01,-1.000000e+01,-1.990947e+58,-2.077684e+58
2,40,-1.000000e+01,1.000000e+01,-2.042974e+58,2.501284e+58
