step,node,x,y,z
1,0,10.000000,10.000000,0.232761
1,1,10.000000,10.000000,-0.224800
1,2,10.000000,-10.000000,-0.590585
1,3,-10.000000,10.000000,-0.820294
1,4,-10.000000,10.000000,0.080764
1,5,-10.000000,-10.000000,-0.613365
1,6,10.000000,-10.000000,-0.131737
1,7,10.000000,10.000000,0.055458
1,8,10.000000,-10.000000,-0.591774
1,9,-10.000000,-10.000000,-0.091956
1,10,10.000000,-10.000000,0.792811
1,11,-10.000000,10.000000,-0.963990
1,12,10.000000,10.000000,-0.766428
1,13,-10.000000,10.000000,-0.999380
1,14,-10.000000,-10.000000,-0.259485
1,15,10.000000,-10.000000,0.749506
1,16,-10.000000,10.000000,-0.900556
1,17,10.000000,10.000000,-0.257346
1,18,10.000000,10.000000,0.317927
1,19,10.000000,-10.000000,0.268134
1,20,10.000000,10.000000,-0.050492
1,21,10.000000,10.000000,0.832208
1,22,-10.000000,-10.000000,-0.198306
1,23,-10.000000,10.000000,0.033357
1,24,-10.000000,10.000000,0.434203
1,25,10.000000,10.000000,-0.432073
1,26,-10.000000,10.000000,0.628767
1,27,10.000000,10.000000,0.487331
1,28,-10.000000,-10.000000,-0.701574
1,29,10.000000,-10.000000,-0.729662
1,30,10.000000,10.000000,-0.445592
1,31,10.000000,-10.000000,-0.904066
1,32,-10.000000,-10.000000,0.139391
1,33,10.000000,-10.000000,0.292968
1,34,-10.000000,-10.000000,0.721977
1,35,-10.000000,-10.000000,0.559425
1,36,-10.000000,10.000000,-0.707045
1,37,10.000000,10.000000,0.759536
1,38,10.000000,-10.000000,-0.762358
1,39,10.000000,10.000000,-0.146703
1,40,10.000000,-10.000000,-0.073762
1,41,10.000000,10.000000,0.856297
1,42,10.000000,-10.000000,-0.603784
1,43,-10.000000,-10.000000,-0.460211
1,44,10.000000,-10.000000,-0.468114
1,45,10.000000,10.000000,0.267030
1,46,-10.000000,10.000000,-0.538478
1,47,10.000000,-10.000000,-0.575640
1,48,-10.000000,-10.000000,-0.902109
1,49,10.000000,10.000000,0.516656
2,0,-10.000000,-10.000000,0.232761
2,1,-10.000000,-10.000000,-0.224800
2,2,-10.000000,10.000000,-0.590585
2,3,10.000000,-10.000000,-0.820294
2,4,10.000000,-10.000000,0.080764
2,5,10.000000,10.000000,-0.613365
2,6,-10.000000,10.000000,-0.131737
2,7,-10.000000,-10.000000,0.055458
2,8,-10.000000,10.000000,-0.591774
2,9,10.000000,10.000000,-0.091956
2,10,-10.000000,10.000000,0.792811
2,11,10.000000,-10.000000,-0.963990
2,12,-10.000000,-10.000000,-0.766428
2,13,10.000000,-10.000000,-0.999380
2,14,10.000000,10.000000,-0.259485
2,15,-10.000000,10.000000,0.749506
2,16,10.000000,-10.000000,-0.900556
2,17,-10.000000,-10.000000,-0.257346
2,18,-10.000000,-10.000000,0.317927
2,19,-10.000000,10.000000,0.268134
2,20,-10.000000,-10.000000,-0.050492
2,21,-10.000000,-10.000000,0.832208
2,22,10.000000,10.000000,-0.198306
2,23,10.000000,-10.000000,0.033357
2,24,10.000000,-10.000000,0.434203
2,25,-10.000000,-10.000000,-0.432073
2,26,10.000000,-10.000000,0.628767
2,27,-10.000000,-10.000000,0.487331
2,28,10.000000,10.000000,-0.701574
2,29,-10.000000,10.000000,-0.729662
2,30,-10.000000,-10.000000,-0.445592
2,31,-10.000000,10.000000,-0.904066
2,32,10.000000,10.000000,0.139391
2,33,-10.000000,10.000000,0.292968
2,34,10.000000,10.000000,0.721977
2,35,10.000000,10.000000,0.559425
2,36,10.000000,-10.000000,-0.707045
2,37,-10.000000,-10.000000,0.759536
2,38,-10.000000,10.000000,-0.762358
2,39,-10.000000,-10.000000,-0.146703
2,40,-10.000000,10.000000,-0.073762
2,41,-10.000000,-10.000000,0.856297
2,42,-10.000000,10.000000,-0.603784
2,43,10.000000,10.000000,-0.460211
2,44,-10.000000,10.000000,-0.468114
2,45,-10.000000,-10.000000,0.267030
2,46,10.000000,-10.000000,-0.538478
2,47,-10.000000,10.000000,-0.575640
2,48,10.000000,10.000000,-0.902109
2,49,-10.000000,-10.000000,0.516656
3,0,10.000000,10.000000,0.232761
3,1,10.000000,10.000000,-0.224800
3,2,10.000000,-10.000000,-0.590585
3,3,-10.000000,10.000000,-0.820294
3,4,-10.000000,10.000000,0.080764
3,5,-10.000000,-10.000000,-0.613365
3,6,10.000000,-10.000000,-0.131737
3,7,10.000000,10.000000,0.055458
3,8,10.000000,-10.000000,-0.591774
3,9,-10.000000,-10.000000,-0.091956
3,10,10.000000,-10.000000,0.792811
3,11,-10.000000,10.000000,-0.963990
3,12,10.000000,10.000000,-0.766428
3,13,-10.000000,10.000000,-0.999380
3,14,-10.000000,-10.000000,-0.259485
3,15,10.000000,-10.000000,0.749506
3,16,-10.000000,10.000000,-0.900556
3,17,10.000000,10.000000,-0.257346
3,18,10.000000,10.000000,0.317927
3,19,10.000000,-10.000000,0.268134
3,20,10.000000,10.000000,-0.050492
3,21,10.000000,10.000000,0.832208
3,22,-10.000000,-10.000000,-0.198306
3,23,-10.000000,10.000000,0.033357
3,24,-10.000000,10.000000,0.434203
3,25,10.000000,10.000000,-0.432073
3,26,-10.000000,10.000000,0.628767
3,27,10.000000,10.000000,0.487331
3,28,-10.000000,-10.000000,-0.701574
3,29,10.000000,-10.000000,-0.729662
3,30,10.000000,10.000000,-0.445592
3,31,10.000000,-10.000000,-0.904066
3,32,-10.000000,-10.000000,0.139391
3,33,10.000000,-10.000000,0.292968
3,34,-10.000000,-10.000000,0.721977
3,35,-10.000000,-10.000000,0.559425
3,36,-10.000000,10.000000,-0.707045
3,37,10.000000,10.000000,0.759536
3,38,10.000000,-10.000000,-0.762358
3,39,10.000000,10.000000,-0.146703
3,40,10.000000,-10.000000,-0.073762
3,41,10.000000,10.000000,0.856297
3,42,10.000000,-10.000000,-0.603784
3,43,-10.000000,-10.000000,-0.460211
3,44,10.000000,-10.000000,-0.468114
3,45,10.000000,10.000000,0.267030
3,46,-10.000000,10.000000,-0.538478
3,47,10.000000,-10.000000,-0.575640
3,48,-10.000000,-10.000000,-0.902109
3,49,10.000000,10.000000,0.516656
4,0,-10.000000,-10.000000,0.232761
4,1,-10.000000,-10.000000,-0.224800
4,2,-10.000000,10.000000,-0.590585
4,3,10.000000,-10.000000,-0.820294
4,4,10.000000,-10.000000,0.080764
4,5,10.000000,10.000000,-0.613365
4,6,-10.000000,10.000000,-0.131737
4,7,-10.000000,-10.000000,0.055458
4,8,-10.000000,10.000000,-0.591774
4,9,10.000000,10.000000,-0.091956
4,10,-10.000000,10.000000,0.792811
4,11,10.000000,-10.000000,-0.963990
4,12,-10.000000,-10.000000,-0.766428
4,13,10.000000,-10.000000,-0.999380
4,14,10.000000,10.000000,-0.259485
4,15,-10.000000,10.000000,0.749506
4,16,10.000000,-10.000000,-0.900556
4,17,-10.000000,-10.000000,-0.257346
4,18,-10.000000,-10.000000,0.317927
4,19,-10.000000,10.000000,0.268134
4,20,-10.000000,-10.000000,-0.050492
4,21,-10.000000,-10.000000,0.832208
4,22,10.000000,10.000000,-0.198306
4,23,10.000000,-10.000000,0.033357
4,24,10.000000,-10.000000,0.434203
4,25,-10.000000,-10.000000,-0.432073
4,26,10.000000,-10.000000,0.628767
4,27,-10.000000,-10.000000,0.487331
4,28,10.000000,10.000000,-0.701574
4,29,-10.000000,10.000000,-0.729662
4,30,-10.000000,-10.000000,-0.445592
4,31,-10.000000,10.000000,-0.904066
4,32,10.000000,10.000000,0.139391
4,33,-10.000000,10.000000,0.292968
4,34,10.000000,10.000000,0.721977
4,35,10.000000,10.000000,0.559425
4,36,10.000000,-10.000000,-0.707045
4,37,-10.000000,-10.000000,0.759536
4,38,-10.000000,10.000000,-0.762358
4,39,-10.000000,-10.000000,-0.146703
4,40,-10.000000,10.000000,-0.073762
4,41,-10.000000,-10.000000,0.856297
4,42,-10.000000,10.000000,-0.603784
4,43,10.000000,10.000000,-0.460211
4,44,-10.000000,10.000000,-0.468114
4,45,-10.000000,-10.000000,0.267030
4,46,10.000000,-10.000000,-0.538478
4,47,-10.000000,10.000000,-0.575640
4,48,10.000000,10.000000,-0.902109
4,49,-10.000000,-10.000000,0.516656
5,0,10.000000,10.000000,0.232761
5,1,10.000000,10.000000,-0.224800
5,2,10.000000,-10.000000,-0.590585
5,3,-10.000000,10.000000,-0.820294
5,4,-10.000000,10.000000,0.080764
5,5,-10.000000,-10.000000,-0.613365
5,6,10.000000,-10.000000,-0.131737
5,7,10.000000,10.000000,0.055458
5,8,10.000000,-10.000000,-0.591774
5,9,-10.000000,-10.000000,-0.091956
5,10,10.000000,-10.000000,0.792811
5,11,-10.000000,10.000000,-0.963990
5,12,10.000000,10.000000,-0.766428
5,13,-10.000000,10.000000,-0.999380
5,14,-10.000000,-10.000000,-0.259485
5,15,10.000000,-10.000000,0.749506
5,16,-10.000000,10.000000,-0.900556
5,17,10.000000,10.000000,-0.257346
5,18,10.000000,10.000000,0.317927
5,19,10.000000,-10.000000,0.268134
5,20,10.000000,10.000000,-0.050492
5,21,10.000000,10.000000,0.832208
5,22,-10.000000,-10.000000,-0.198306
5,23,-10.000000,10.000000,0.033357
5,24,-10.000000,10.000000,0.434203
5,25,10.000000,10.000000,-0.432073
5,26,-10.000000,10.000000,0.628767
5,27,10.000000,10.000000,0.487331
5,28,-10.000000,-10.000000,-0.701574
5,29,10.000000,-10.000000,-0.729662
5,30,10.000000,10.000000,-0.445592
5,31,10.000000,-10.000000,-0.904066
5,32,-10.000000,-10.000000,0.139391
5,33,10.000000,-10.000000,0.292968
5,34,-10.000000,-10.000000,0.721977
5,35,-10.000000,-10.000000,0.559425
5,36,-10.000000,10.000000,-0.707045
5,37,10.000000,10.000000,0.759536
5,38,10.000000,-10.000000,-0.762358
5,39,10.000000,10.000000,-0.146703
5,40,10.000000,-10.000000,-0.073762
5,41,10.000000,10.000000,0.856297
5,42,10.000000,-10.000000,-0.603784
5,43,-10.000000,-10.000000,-0.460211
5,44,10.000000,-10.000000,-0.468114
5,45,10.000000,10.000000,0.267030
5,46,-10.000000,10.000000,-0.538478
5,47,10.000000,-10.000000,-0.575640
5,48,-10.000000,-10.000000,-0.902109
5,49,10.000000,10.000000,0.516656
6,0,-10.000000,-10.000000,0.232761
6,1,-10.000000,-10.000000,-0.224800
6,2,-10.000000,10.000000,-0.590585
6,3,10.000000,-10.000000,-0.820294
6,4,10.000000,-10.000000,0.080764
6,5,10.000000,10.000000,-0.613365
6,6,-10.000000,10.000000,-0.131737
6,7,-10.000000,-10.000000,0.055458
6,8,-10.000000,10.000000,-0.591774
6,9,10.000000,10.000000,-0.091956
6,10,-10.000000,10.000000,0.792811
6,11,10.000000,-10.000000,-0.963990
6,12,-10.000000,-10.000000,-0.766428
6,13,10.000000,-10.000000,-0.999380
6,14,10.000000,10.000000,-0.259485
6,15,-10.000000,10.000000,0.749506
6,16,10.000000,-10.000000,-0.900556
6,17,-10.000000,-10.000000,-0.257346
6,18,-10.000000,-10.000000,0.317927
6,19,-10.000000,10.000000,0.268134
6,20,-10.000000,-10.000000,-0.050492
6,21,-10.000000,-10.000000,0.832208
6,22,10.000000,10.000000,-0.198306
6,23,10.000000,-10.000000,0.033357
6,24,10.000000,-10.000000,0.434203
6,25,-10.000000,-10.000000,-0.432073
6,26,10.000000,-10.000000,0.628767
6,27,-10.000000,-10.000000,0.487331
6,28,10.000000,10.000000,-0.701574
6,29,-10.000000,10.000000,-0.729662
6,30,-10.000000,-10.000000,-0.445592
6,31,-10.000000,10.000000,-0.904066
6,32,10.000000,10.000000,0.139391
6,33,-10.000000,10.000000,0.292968
6,34,10.000000,10.000000,0.721977
6,35,10.000000,10.000000,0.559425
6,36,10.000000,-10.000000,-0.707045
6,37,-10.000000,-10.000000,0.759536
6,38,-10.000000,10.000000,-0.762358
6,39,-10.000000,-10.000000,-0.146703
6,40,-10.000000,10.000000,-0.073762
6,41,-10.000000,-10.000000,0.856297
6,42,-10.000000,10.000000,-0.603784
6,43,10.000000,10.000000,-0.460211
6,44,-10.000000,10.000000,-0.468114
6,45,-10.000000,-10.000000,0.267030
6,46,10.000000,-10.000000,-0.538478
6,47,-10.000000,10.000000,-0.575640
6,48,10.000000,10.000000,-0.902109
6,49,-10.000000,-10.000000,0.516656
7,0,10.000000,10.000000,0.232761
7,1,10.000000,10.000000,-0.224800
7,2,10.000000,-10.000000,-0.590585
7,3,-10.000000,10.000000,-0.820294
7,4,-10.000000,10.000000,0.080764
7,5,-10.000000,-10.000000,-0.613365
7,6,10.000000,-10.000000,-0.131737
7,7,10.000000,10.000000,0.055458
7,8,10.000000,-10.000000,-0.591774
7,9,-10.000000,-10.000000,-0.091956
7,10,10.000000,-10.000000,0.792811
7,11,-10.000000,10.000000,-0.963990
7,12,10.000000,10.000000,-0.766428
7,13,-10.000000,10.000000,-0.999380
7,14,-10.000000,-10.000000,-0.259485
7,15,10.000000,-10.000000,0.749506
7,16,-10.000000,10.000000,-0.900556
7,17,10.000000,10.000000,-0.257346
7,18,10.000000,10.000000,0.317927
7,19,10.000000,-10.000000,0.268134
7,20,10.000000,10.000000,-0.050492
7,21,10.000000,10.000000,0.832208
7,22,-10.000000,-10.000000,-0.198306
7,23,-10.000000,10.000000,0.033357
7,24,-10.000000,10.000000,0.434203
7,25,10.000000,10.000000,-0.432073
7,26,-10.000000,10.000000,0.628767
7,27,10.000000,10.000000,0.487331
7,28,-10.000000,-10.000000,-0.701574
7,29,10.000000,-10.000000,-0.729662
7,30,10.000000,10.000000,-0.445592
7,31,10.000000,-10.000000,-0.904066
7,32,-10.000000,-10.000000,0.139391
7,33,10.000000,-10.000000,0.292968
7,34,-10.000000,-10.000000,0.721977
7,35,-10.000000,-10.000000,0.559425
7,36,-10.000000,10.000000,-0.707045
7,37,10.000000,10.000000,0.759536
7,38,10.000000,-10.000000,-0.762358
7,39,10.000000,10.000000,-0.146703
7,40,10.000000,-10.000000,-0.073762
7,41,10.000000,10.000000,0.856297
7,42,10.000000,-10.000000,-0.603784
7,43,-10.000000,-10.000000,-0.460211
7,44,10.000000,-10.000000,-0.468114
7,45,10.000000,10.000000,0.267030
7,46,-10.000000,10.000000,-0.538478
7,47,10.000000,-10.000000,-0.575640
7,48,-10.000000,-10.000000,-0.902109
7,49,10.000000,10.000000,0.516656
8,0,-10.000000,-10.000000,0.232761
8,1,-10.000000,-10.000000,-0.224800
8,2,-10.000000,10.000000,-0.590585
8,3,10.000000,-10.000000,-0.820294
8,4,10.000000,-10.000000,0.080764
8,5,10.000000,10.000000,-0.613365
8,6,-10.000000,10.000000,-0.131737
8,7,-10.000000,-10.000000,0.055458
8,8,-10.000000,10.000000,-0.591774
8,9,10.000000,10.000000,-0.091956
8,10,-10.000000,10.000000,0.792811
8,11,10.000000,-10.000000,-0.963990
8,12,-10.000000,-10.000000,-0.766428
8,13,10.000000,-10.000000,-0.999380
8,14,10.000000,10.000000,-0.259485
8,15,-10.000000,10.000000,0.749506
8,16,10.000000,-10.000000,-0.900556
8,17,-10.000000,-10.000000,-0.257346
8,18,-10.000000,-10.000000,0.317927
