step,lambda1,lambda2,spectral_gap
1,26.138127,26.138127,0.000000
2,25.879418,25.879418,-0.000000
3,25.638784,25.638784,0.000000
4,25.581078,25.581078,-0.000000
5,25.864858,25.864858,0.000000
6,25.622561,25.622561,0.000000
7,25.093365,25.093365,0.000000
8,25.597210,25.597210,0.000000
9,25.416134,25.416134,0.000000
10,26.099631,26.099631,-0.000000
11,25.342936,25.342936,-0.000000
12,12.972954,12.972954,0.000000
13,26.067233,26.067233,0.000000
14,25.746879,25.746879,-0.000000
15,25.472271,25.472271,-0.000000
16,25.381394,25.381394,-0.000000
17,25.580184,25.580184,0.000000
18,25.604382,25.604382,0.000000
19,26.179712,26.179712,0.000000
20,25.245965,25.245965,-0.000000
21,25.451839,25.451839,0.000000
22,25.899350,25.899350,0.000000
23,25.401668,25.401668,-0.000000
24,26.275646,26.275646,0.000000
25,25.990005,25.990005,-0.000000
26,25.538647,25.538647,0.000000
27,49.000000,49.000000,0.000000
28,25.246414,25.246414,0.000000
29,26.057063,26.057063,0.000000
30,25.235524,25.235524,0.000000
