step,node,prev,new,entropy,time
1,0,-1,4,9.609804e-01,-9.712384e+41
1,1,-1,1,9.117335e-02,-9.878211e+41
1,2,-1,2,3.712508e-01,-1.036650e+42
1,3,-1,7,7.735008e-01,-9.540675e+41
1,4,-1,8,5.558744e-02,-1.039424e+42
1,5,-1,4,9.609804e-01,-9.112915e+41
1,6,-1,4,9.257560e-02,-1.008342e+42
1,7,-1,5,4.751599e-01,-1.001594e+42
1,8,-1,3,6.548747e-01,-1.098955e+42
1,9,-1,1,9.595207e-01,-9.025088e+41
1,10,-1,6,9.590433e-01,-9.851479e+41
1,11,-1,3,7.088002e-01,-9.790141e+41
1,12,-1,3,6.113571e-02,-1.087256e+42
1,13,-1,1,8.197977e-01,-9.209659e+41
1,14,-1,3,6.113571e-02,-9.443259e+41
1,15,-1,2,4.085046e-01,-9.445667e+41
1,16,-1,3,6.548747e-01,-9.236179e+41
1,17,-1,2,4.529588e-01,-9.640017e+41
1,18,-1,3,6.548747e-01,-1.048011e+42
1,19,-1,0,9.415517e-01,-1.040324e+42
1,20,-1,6,8.627269e-01,-9.644438e+41
1,21,-1,0,8.681810e-01,-1.080260e+42
1,22,-1,3,6.548747e-01,-9.273303e+41
1,23,-1,0,9.415517e-01,-1.005202e+42
1,24,-1,0,8.681810e-01,-9.983239e+41
1,25,-1,4,6.105533e-01,-9.499366e+41
1,26,-1,0,8.681810e-01,-9.698387e+41
1,27,-1,7,7.735008e-01,-1.079810e+42
1,28,-1,2,4.085046e-01,-9.562577e+41
1,29,-1,0,3.612717e-01,-1.086249e+42
1,30,-1,4,9.257560e-02,-9.518276e+41
1,31,-1,4,9.257560e-02,-9.955387e+41
1,32,-1,4,9.609804e-01,-1.059076e+42
1,33,-1,8,5.558744e-02,-1.071490e+42
1,34,-1,3,9.899140e-01,-9.707884e+41
1,35,-1,4,9.257560e-02,-9.440369e+41
1,36,-1,4,7.119582e-01,-9.493110e+41
1,37,-1,5,4.751599e-01,-9.173673e+41
1,38,-1,3,7.088002e-01,-1.087904e+42
1,39,-1,4,9.257560e-02,-1.003414e+42
1,40,-1,1,8.197977e-01,-1.038388e+42
1,41,-1,2,4.529588e-01,-1.055603e+42
1,42,-1,2,4.085046e-01,-9.719875e+41
1,43,-1,4,9.257560e-02,-9.591726e+41
1,44,-1,6,8.627269e-01,-9.354646e+41
1,45,-1,3,6.548747e-01,-9.238291e+41
1,46,-1,3,7.088002e-01,-9.961565e+41
1,47,-1,7,7.735008e-01,-1.089605e+42
1,48,-1,2,4.085046e-01,-9.761182e+41
1,49,-1,0,9.415517e-01,-1.017837e+42
2,0,4,5,2.132914e-01,-1.942477e+42
2,1,1,0,6.404539e-01,-1.975642e+42
2,2,2,1,7.101786e-01,-2.073300e+42
2,3,7,5,9.432260e-01,-1.908135e+42
