step,x0,y0,x1,y1,x2,y2
0,1.000000,0.000000,-0.500000,0.866025,-0.500000,-0.866025
1,-507059189100513704979535392539785787996064866846275837220394280148040174868632140016937690095199891951244460616056832.000000,-83027755454396197556904846891374704759326357634689519655155924992.000000,253529594550256852489767696269892893998032433423137918610197140074020087434316070008468845047599945975622230308028416.000000,-439126138983382360801546278284505995283636119466718977190806950041736554970104871599470433784173587709273711451308032.000000,253529594550256852489767696269892893998032433423137918610197140074020087434316070008468845047599945975622230308028416.000000,439126138983382360801546278284505995283636119466718977190806950041736554970104871599470433784173587709273711451308032.000000
2,inf,inf,-inf,inf,-inf,-inf
3,nan,nan,-inf,inf,nan,nan
4,nan,nan,-inf,inf,nan,nan
5,nan,nan,-inf,inf,nan,nan
6,nan,nan,-inf,inf,nan,nan
7,nan,nan,-inf,inf,nan,nan
8,nan,nan,-inf,inf,nan,nan
9,nan,nan,-inf,inf,nan,nan
10,nan,nan,-inf,inf,nan,nan
11,nan,nan,-inf,inf,nan,nan
12,nan,nan,-inf,inf,nan,nan
13,nan,nan,-inf,inf,nan,nan
14,nan,nan,-inf,inf,nan,nan
15,nan,nan,-inf,inf,nan,nan
16,nan,nan,-inf,inf,nan,nan
17,nan,nan,-inf,inf,nan,nan
18,nan,nan,-inf,inf,nan,nan
19,nan,nan,-inf,inf,nan,nan
20,nan,nan,-inf,inf,nan,nan
21,nan,nan,-inf,inf,nan,nan
22,nan,nan,-inf,inf,nan,nan
23,nan,nan,-inf,inf,nan,nan
24,nan,nan,-inf,inf,nan,nan
25,nan,nan,-inf,inf,nan,nan
26,nan,nan,-inf,inf,nan,nan
27,nan,nan,-inf,inf,nan,nan
28,nan,nan,-inf,inf,nan,nan
29,nan,nan,-inf,inf,nan,nan
30,nan,nan,-inf,inf,nan,nan
31,nan,nan,-inf,inf,nan,nan
32,nan,nan,-inf,inf,nan,nan
33,nan,nan,-inf,inf,nan,nan
34,nan,nan,-inf,inf,nan,nan
35,nan,nan,-inf,inf,nan,nan
36,nan,nan,-inf,inf,nan,nan
37,nan,nan,-inf,inf,nan,nan
38,nan,nan,-inf,inf,nan,nan
39,nan,nan,-inf,inf,nan,nan
40,nan,nan,-inf,inf,nan,nan
41,nan,nan,-inf,inf,nan,nan
42,nan,nan,-inf,inf,nan,nan
43,nan,nan,-inf,inf,nan,nan
44,nan,nan,-inf,inf,nan,nan
45,nan,nan,-inf,inf,nan,nan
46,nan,nan,-inf,inf,nan,nan
47,nan,nan,-inf,inf,nan,nan
48,nan,nan,-inf,inf,nan,nan
49,nan,nan,-inf,inf,nan,nan
50,nan,nan,-inf,inf,nan,nan
51,nan,nan,-inf,inf,nan,nan
52,nan,nan,-inf,inf,nan,nan
53,nan,nan,-inf,inf,nan,nan
54,nan,nan,-inf,inf,nan,nan
55,nan,nan,-inf,inf,nan,nan
56,nan,nan,-inf,inf,nan,nan
57,nan,nan,-inf,inf,nan,nan
58,nan,nan,-inf,inf,nan,nan
59,nan,nan,-inf,inf,nan,nan
60,nan,nan,-inf,inf,nan,nan
61,nan,nan,-inf,inf,nan,nan
62,nan,nan,-inf,inf,nan,nan
63,nan,nan,-inf,inf,nan,nan
64,nan,nan,-inf,inf,nan,nan
65,nan,nan,-inf,inf,nan,nan
66,nan,nan,-inf,inf,nan,nan
67,nan,nan,-inf,inf,nan,nan
68,nan,nan,-inf,inf,nan,nan
69,nan,nan,-inf,inf,nan,nan
70,nan,nan,-inf,inf,nan,nan
71,nan,nan,-inf,inf,nan,nan
72,nan,nan,-inf,inf,nan,nan
73,nan,nan,-inf,inf,nan,nan
74,nan,nan,-inf,inf,nan,nan
75,nan,nan,-inf,inf,nan,nan
76,nan,nan,-inf,inf,nan,nan
77,nan,nan,-inf,inf,nan,nan
78,nan,nan,-inf,inf,nan,nan
79,nan,nan,-inf,inf,nan,nan
80,nan,nan,-inf,inf,nan,nan
81,nan,nan,-inf,inf,nan,nan
82,nan,nan,-inf,inf,nan,nan
83,nan,nan,-inf,inf,nan,nan
